source_skill_id,target_skill_id,relation_type
16,17,prerequisite
17,18,prerequisite
23,17,prerequisite
16,23,prerequisite
26,28,prerequisite
25,27,prerequisite
25,60,prerequisite
26,32,prerequisite
26,30,prerequisite
26,33,prerequisite
32,37,prerequisite
37,40,prerequisite
40,42,prerequisite
40,63,prerequisite
42,63,prerequisite
25,35,prerequisite
60,35,prerequisite
35,38,prerequisite
38,39,prerequisite
38,59,prerequisite
29,52,prerequisite
31,52,prerequisite
34,52,prerequisite
36,52,prerequisite
52,96,prerequisite
71,96,prerequisite
72,96,prerequisite
73,96,prerequisite
74,96,prerequisite
75,96,prerequisite
43,44,prerequisite
44,62,prerequisite
45,89,prerequisite
89,90,prerequisite
107,50,prerequisite
50,106,prerequisite
106,113,prerequisite
94,114,prerequisite
114,115,prerequisite
115,111,prerequisite
95,108,prerequisite
61,110,prerequisite
108,110,prerequisite
46,53,prerequisite
53,57,prerequisite
47,91,prerequisite
91,92,prerequisite
92,51,prerequisite
51,112,prerequisite
57,66,prerequisite
67,66,prerequisite
56,65,prerequisite
65,101,prerequisite
65,102,prerequisite
65,103,prerequisite
65,100,prerequisite
65,109,prerequisite
57,97,prerequisite
57,98,prerequisite
57,99,prerequisite
97,104,prerequisite
98,105,prerequisite
70,48,prerequisite
48,97,prerequisite
48,103,prerequisite
70,101,prerequisite
70,99,prerequisite
55,11,prerequisite
10,9,prerequisite
12,13,prerequisite
13,93,prerequisite
93,109,prerequisite
11,24,prerequisite
41,24,prerequisite
64,24,prerequisite
24,14,prerequisite
21,20,prerequisite
22,19,prerequisite
20,19,prerequisite
19,68,prerequisite
22,77,prerequisite
22,79,prerequisite
79,78,prerequisite
79,81,prerequisite
78,80,prerequisite
81,80,prerequisite
15,68,prerequisite
76,83,prerequisite
76,88,prerequisite
69,84,prerequisite
69,85,prerequisite
69,86,prerequisite
69,87,prerequisite
69,88,prerequisite
84,82,prerequisite
85,83,prerequisite
88,83,prerequisite
8,7,prerequisite
6,7,prerequisite
6,54,prerequisite
1,49,prerequisite
49,8,prerequisite
2,58,prerequisite
3,58,prerequisite
4,58,prerequisite
5,58,prerequisite
