new_user_id,original_user_id,new_exer_id,original_exer_id,new_knowledge_code,original_knowledge_code
1,34818477,1,2943,1,506
2,2025110000,2,2944,2,828
3,2025110001,3,2945,3,1187
4,2025110002,4,2946,4,1255
5,2025110003,5,2947,5,1768
6,2025110004,6,2948,6,2810
7,2025110005,7,2949,7,2947
8,2025110006,8,2950,8,3372
9,2025110007,9,2951,9,3448
10,2025110008,10,2952,10,3483
11,2025110009,11,2953,11,3510
12,2025110010,12,2954,12,3544
13,2025110011,13,2955,13,3725
14,2025110012,14,2956,14,3851
15,2025110013,15,2957,15,4385
16,2025110014,16,2958,16,4475
17,2025110015,17,2959,17,4500
18,2025110016,18,2960,18,4545
19,2025110017,19,2961,19,4557
20,2025110018,20,2962,20,5189
21,2025110019,21,2963,21,5283
22,2025110020,22,2964,22,5847
23,2025110021,23,2965,23,5924
24,2025110022,24,2966,24,6145
25,2025110023,25,2967,25,6197
26,2025110024,26,2968,26,6214
27,2025110025,27,2969,27,6229
28,2025110026,28,2970,28,6287
29,2025110027,29,2025110487,29,6388
30,2025110028,30,2025110755,30,6498
31,2025110029,31,2025110756,31,6533
,,32,2025110757,32,6588
,,33,2025110758,33,6621
,,34,2025110759,34,6856
,,35,2025110760,35,6919
,,36,2025110761,36,6946
,,37,2025110762,37,7039
,,38,2025110763,38,7601
,,39,2025110764,39,8116
,,40,2025110765,40,8140
,,41,2025110766,41,8343
,,42,2025110779,42,8541
,,43,2025110780,43,8814
,,44,2025110781,44,8966
,,45,2025110782,45,8981
,,46,2025110783,46,9068
,,47,2025110784,47,9318
,,48,2025110785,48,10011
,,49,2025110786,49,10118
,,50,2025110787,50,10285
,,51,2025110788,51,10554
,,52,2025110789,52,10593
,,53,2025110790,53,10594
,,,,54,10595
,,,,55,10596
,,,,56,10597
,,,,57,10598
,,,,58,10599
,,,,59,10600
,,,,60,10601
,,,,61,10602
